	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
ABI3	NM_016428	2.391542352	2.38509855	2.656370644	2.373763868	A	A	A	A	2.128069875	2.141805452	2.134424932	2.170721884	A	A	A	A	2.336443544	2.33932815	2.330803405	2.334630412	A	A	A	A	0.9996	0.3268	1.0000	0.9996	0.8976	0.1430	1.0000	1.0000	1.0000
ABI3BP	NM_015429	2.3103951	2.316846646	2.313337912	2.303713458	A	A	A	A	9.867335102	9.597400105	9.684336838	9.414107129	P	P	P	P	2.323608063	2.342790704	2.327067442	2.391059592	A	A	A	A	0.9243	0.9999	0.9923	0.0993	0.1950	0.0025	1.0000	1.0000	0.2141
ABL1	NM_005157	8.672247839	8.602341174	8.670844804	8.783057332	P	P	P	P	10.27257081	10.91863234	11.05341416	11.37868627	P	P	P	P	10.38605339	10.60396864	10.70349765	10.58287981	P	P	P	P	0.7253	0.9999	0.3229	0.0000	0.0000	0.0000	0.0432	0.0034	0.0294
ABL2	NM_005158	4.559819074	4.616801521	4.561767338	4.49969201	P	P	P	P	8.209799159	7.799046771	8.091165669	8.331622876	P	P	P	P	9.049673672	8.93291603	9.180163055	9.372295521	P	P	P	P	0.8343	0.9999	0.7552	0.0008	0.1576	0.1013	0.2334	0.1031	0.0008
ABLIM1	NM_002313	8.95586174	8.579713752	9.23835628	9.80475679	P	P	P	P	2.738147905	2.732123629	2.728063984	2.748139202	P	P	P	P	9.414268286	9.435216553	9.51396355	9.572671737	P	P	P	P	0.0054	0.0231	0.0000	0.9996	0.7653	0.4566	1.0000	0.6340	0.2085
ABLIM2	NM_032432	2.56975075	2.715801021	2.58426562	2.571127217	A	A	A	A	2.499233047	2.498940906	2.492346838	2.508484473	A	A	A	A	2.537355078	2.53656447	2.535413465	2.536658306	A	A	A	A	0.0779	0.9999	1.0000	0.9996	0.8740	0.5692	1.0000	1.0000	1.0000
ABLIM3	NM_014945	2.480857381	2.472709467	2.560539418	2.985074634	A	A	A	A	9.361998898	9.304232894	9.543136415	9.897795612	P	P	P	P	9.215149905	9.215582662	9.534715097	9.790027366	P	P	P	P	0.9996	0.9999	0.0057	0.9778	0.1127	0.0003	1.0000	0.0732	0.0030
ABO	NM_020469	2.504081012	2.509058602	2.517993259	2.506920423	A	A	A	A	2.599029593	2.568848891	2.562483934	2.587243021	A	A	A	A	2.50428331	2.510176349	2.504081478	2.506422108	A	A	A	A	0.9420	0.7758	1.0000	0.6458	0.3553	0.6549	1.0000	1.0000	1.0000
ABP1	NM_001091	2.307165252	2.307582274	2.295261289	2.287841007	A	A	A	A	2.414232054	2.418035617	2.399442607	2.434815697	A	A	A	A	2.333681409	2.337517404	2.331314232	2.339475899	A	A	A	A	0.9996	0.9411	0.5618	0.9996	0.7849	0.3387	1.0000	1.0000	1.0000
ABR	NM_001092	5.22409458	5.106667576	6.21920622	7.557712268	A	P	P	P	9.504161493	9.449564136	9.382913887	9.339635717	P	P	P	P	8.644603821	8.623046666	8.886722064	8.742798233	P	P	P	P	0.8968	0.0004	0.0000	0.6608	0.0652	0.0112	1.0000	0.4350	0.9949
ABRA	NM_139166	2.402705979	2.412456902	2.405364649	2.397450826	A	A	A	A	2.378126261	2.389182037	2.372825969	2.402583078	A	A	A	A	2.373515063	2.376405169	2.370027259	2.374863581	A	A	A	A	0.8800	0.9999	1.0000	0.9996	0.8940	0.2702	1.0000	1.0000	1.0000
ABT1	NM_013375	8.880967049	8.705574957	8.644764844	8.296642011	P	P	P	P	5.395222253	5.80124168	5.333153426	5.114886652	P	P	P	P	8.674282314	8.586476031	8.575624623	8.508157062	P	P	P	P	0.1849	0.0471	0.0001	0.2244	0.8881	0.2254	0.7998	0.5429	0.1262
ABTB1	NM_032548	2.437644186	2.438859535	2.44010897	2.442042258	A	A	A	A	4.715048022	4.726084326	4.805953791	5.326210066	P	P	P	P	4.014618359	3.988055664	4.074522604	4.087761359	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.6304	0.0002	1.0000	0.8575	0.6009
ABTB2	NM_145804	2.396664989	2.396008199	2.526251862	2.553810517	A	A	A	P	1.934290121	1.948358524	1.941949525	1.959860876	A	A	A	A	1.878651362	1.880907156	1.875566265	1.878999208	A	A	A	A	0.9996	0.5229	0.3443	0.8432	0.8699	0.1798	1.0000	1.0000	1.0000
ACAA1	NM_001607	9.811402289	9.753281824	9.550537054	9.400379402	P	P	P	P	8.032384771	7.955712239	8.132264513	8.203950541	P	P	P	P	8.728596396	8.887779794	8.788304191	8.683775253	P	P	P	P	0.7968	0.0062	0.0001	0.2863	0.0776	0.0039	0.3690	1.0000	1.0000
ACAA2	NM_006111	11.10511189	10.55115441	10.43431794	10.29432913	P	A	A	A	9.85680223	9.687275324	9.824800616	9.909041518	A	A	A	A	9.660997453	9.577661218	9.587412195	9.724729516	A	A	A	A	0.0009	0.0001	0.0000	0.5580	0.9014	0.6927	1.0000	1.0000	1.0000
ACACA	NM_198834	9.133824397	8.214390441	8.072631387	7.928805198	P	P	P	P	8.610050656	8.550991933	8.407999146	8.008737608	P	P	P	P	9.65932268	9.661703259	9.508911253	9.178823358	P	P	P	P	0.0000	0.0000	0.0000	0.9996	0.1488	0.0004	1.0000	0.5832	0.0101
ACACB	NM_001093	2.869712066	2.850589418	2.845779752	2.84306338	P	A	A	P	2.649498558	2.652062856	2.646381639	2.663200862	P	A	P	A	2.239659522	2.244664139	2.239748533	2.241833857	A	A	A	A	0.8214	0.6707	0.5501	0.9996	0.9147	0.3873	1.0000	1.0000	1.0000
ACAD10	NM_025247	2.409136998	2.40793535	2.413405383	2.408743096	A	A	A	A	2.65705307	2.663610787	2.660659676	2.671242218	P	A	P	A	2.391851709	2.393298467	2.391482904	2.391064969	A	A	A	A	0.9956	0.9999	1.0000	0.9996	0.9080	0.3996	1.0000	1.0000	1.0000
ACAD11	NM_032169	6.450217202	6.27349941	6.386143009	6.711668144	P	P	P	P	6.13618376	6.18945599	6.527836337	6.684617074	P	P	P	P	3.915107636	4.211293022	4.013870179	4.02205001	P	P	P	P	0.7139	0.9999	0.3613	0.9996	0.2228	0.0542	0.5572	1.0000	1.0000
ACAD8	NM_014384	6.458813327	5.180868009	4.927344492	5.016864897	P	P	P	P	5.374918572	5.291770632	5.010636232	4.83374063	P	P	P	P	8.4502941	8.299958745	8.208649333	7.979621998	P	P	P	P	0.0002	0.0000	0.0000	0.9996	0.2115	0.0399	0.7000	0.1803	0.0082
ACAD9	NM_014049	7.043250684	6.946624471	6.401856472	6.051945963	P	P	P	P	8.23848109	8.104813357	8.064684924	8.11947514	P	P	P	P	8.140768099	8.176717147	8.091708106	8.160410632	P	P	P	P	0.7562	0.0002	0.0000	0.5492	0.2234	0.2943	1.0000	1.0000	1.0000
ACADL	NM_001608	2.410810718	2.418491633	2.410737253	2.402183076	A	A	A	A	2.439828176	2.436211512	2.41966582	2.461607539	A	A	A	A	2.496411009	2.498795917	2.495684757	2.498922183	A	A	A	A	0.9198	0.9999	0.9242	0.9996	0.5712	0.3129	1.0000	1.0000	1.0000
ACADM	NM_000016	9.209146446	8.909352471	8.70676178	8.861356578	P	P	P	P	8.81650493	8.788874404	8.777750934	8.436694194	P	P	P	P	9.713166568	9.902733804	9.775062325	9.705588798	P	P	P	P	0.1053	0.0051	0.0408	0.9996	0.8863	0.0146	0.6268	1.0000	1.0000
ACADS	NM_000017	6.923609996	7.007297111	7.002774519	6.684623182	P	P	P	P	6.576745071	6.642759886	6.640950051	6.756165746	P	P	P	P	6.106733658	6.112627415	6.13382323	6.118903304	P	P	P	P	0.9177	0.9999	0.3366	0.8300	0.7023	0.0535	1.0000	0.8446	1.0000
ACADSB	NM_001609	9.746173204	9.805177937	9.305385451	8.883695348	P	P	P	P	4.223407357	4.234394827	4.272233946	4.27545978	P	P	P	P	5.85407737	5.7972152	5.750705743	5.687853029	P	P	P	P	0.9261	0.0296	0.0002	0.9996	0.8294	0.4898	1.0000	0.8681	0.4015
ACADVL	NM_000018	8.701820807	9.068842265	9.126209833	9.403332273	P	P	P	P	9.75903626	9.753194874	10.05649279	10.3800136	P	P	P	P	10.37364124	10.4108516	10.60615296	10.5768673	P	P	P	P	0.0625	0.0237	0.0006	0.9996	0.0320	0.0003	1.0000	0.0709	0.0891
ACAN	NM_001135	2.402394368	2.411323623	2.406514788	2.402000665	A	A	A	A	2.324031612	2.331845674	2.32254203	2.352977599	A	A	A	A	2.372935015	2.375902955	2.370388684	2.375861354	A	A	A	A	0.8741	0.9999	1.0000	0.9996	0.9624	0.1398	1.0000	1.0000	1.0000
ACAT1	NM_000019	10.45210145	10.72033198	10.65937606	10.66333675	P	P	P	P	8.914972178	8.820135897	8.922000564	8.839502802	P	P	P	P	12.01568145	12.01796578	11.94212766	11.93707714	P	P	P	P	0.0217	0.0632	0.0534	0.3198	0.9456	0.2258	1.0000	0.3661	0.2492
ACAT2	NM_005891	11.69687086	11.33416761	10.91490851	10.71561026	P	P	P	P	8.457136066	8.244543361	8.162237356	8.101999799	P	P	P	P	10.13494638	10.0696788	9.870809615	10.01526368	P	P	P	P	0.0071	0.0000	0.0000	0.3811	0.0963	0.0330	1.0000	0.0660	0.4630
ACBD3	NM_022735	8.135710204	8.791490973	8.798861315	8.826616538	P	P	P	P	8.912058421	8.725743448	8.923578938	9.163627528	P	P	P	P	9.066067822	9.071419707	8.897051282	8.804197116	P	P	P	P	0.0003	0.0002	0.0001	0.1098	0.9347	0.0100	1.0000	0.3137	0.0619
ACBD4	NM_024722	2.571742386	2.674168537	2.919896643	2.604767722	A	A	A	A	3.4845182	3.409613956	3.503071791	3.74222901	A	A	A	A	3.779658157	3.774062216	3.75810759	3.763479734	P	P	P	A	0.8883	0.0966	1.0000	0.9996	0.9643	0.2842	1.0000	1.0000	1.0000
ACBD5	NM_145698	6.538520745	6.813495564	7.141189179	7.61361984	P	P	P	P	8.044519822	8.600629787	8.911510094	8.836027717	P	P	P	P	9.175280863	9.404767777	9.212660029	8.898737548	P	P	P	P	0.0298	0.0001	0.0000	0.0009	0.0000	0.0000	0.0881	1.0000	0.0162
ACBD6	NM_032360	6.819718293	6.614725415	6.66992595	6.584589719	P	P	P	P	7.91109459	7.907576822	8.066562202	8.015133089	P	P	P	P	9.929241377	9.817887637	9.764361768	9.768720878	P	P	P	P	0.0785	0.2073	0.0297	0.9996	0.0593	0.1474	0.4983	0.1168	0.0993
ACCN1	NM_001094	2.47810174	2.485012555	2.476441853	2.455571989	A	A	A	A	2.464284326	2.465646182	2.464657841	2.488541462	A	A	A	A	2.316903775	2.317835274	2.308517046	2.320220847	A	A	A	A	0.9226	0.9999	0.3546	0.9996	0.9915	0.2209	1.0000	1.0000	1.0000
ACCN2	NM_001095	2.318490142	2.290885639	2.289991952	2.284043046	A	A	A	A	2.25838685	2.259441557	2.251126643	2.286458352	A	A	A	A	3.239046191	3.267994277	3.239813889	3.242114033	A	A	P	A	0.5026	0.4488	0.2827	0.9996	0.8740	0.1570	0.7903	1.0000	1.0000
ACCN3	NM_004769	2.413212029	2.422659543	2.414339779	2.415080216	A	A	A	A	2.384865214	2.398487404	2.382742841	2.422971014	A	A	A	A	2.522705292	2.460751267	2.432582176	2.427162746	A	P	A	A	0.8345	0.9999	1.0000	0.9699	0.9553	0.1068	0.9178	0.4564	0.3368
ACCN4	NM_018674	2.368764591	2.43307813	2.363416888	2.370879344	A	A	A	A	2.389450312	2.39114718	2.385901247	2.436977792	A	A	A	A	1.994252888	1.996633014	1.989525287	1.99412703	A	A	A	A	0.3732	0.9999	1.0000	0.9996	0.9430	0.1269	1.0000	1.0000	1.0000
ACCN5	NM_017419	2.080644333	2.084928293	2.080938974	2.076294572	A	A	A	A	2.038723223	2.042910116	2.033437986	2.058013275	A	A	A	A	1.971207712	1.976349783	1.97119736	1.972401375	A	A	A	A	0.9314	0.9999	1.0000	0.9996	0.8861	0.2832	1.0000	1.0000	1.0000
ACCS	NM_032592	2.055427845	2.060781013	2.061373767	2.051991183	A	A	A	A	2.416257953	2.458996832	2.455710054	2.49023539	A	A	A	A	2.306203106	2.30925152	2.307347044	2.309068873	A	A	A	A	0.9289	0.9999	1.0000	0.1848	0.1427	0.0066	1.0000	1.0000	1.0000
ACD	NM_022914	9.136983404	8.823952923	8.68454666	8.521085629	P	P	P	P	9.100126368	8.816012058	8.438572287	8.236492102	P	P	P	P	8.556872334	8.404700798	8.378719062	8.470634893	P	P	P	P	0.0298	0.0021	0.0001	0.0306	0.0001	0.0000	0.3995	0.1806	0.6349
ACE	NM_000789	2.299816793	2.316617814	2.299248179	2.294094398	A	A	A	A	2.456350796	2.460309312	2.447559998	2.482031997	A	A	A	A	2.438663913	2.443984649	2.436845954	2.439644098	A	A	A	A	0.4917	0.9999	0.9840	0.9996	0.8671	0.2209	1.0000	1.0000	1.0000
ACE2	NM_021804	2.524810513	2.549702005	2.521802972	2.512124452	A	A	A	A	2.367394148	2.370212456	2.357482173	2.392198706	A	A	A	A	2.347916812	2.356561206	2.352652393	2.35232638	A	A	A	A	0.4820	0.9999	0.8597	0.9996	0.8656	0.2704	1.0000	1.0000	1.0000
ACHE	NM_000665	2.146663849	2.155621398	2.148772431	2.143660873	A	A	A	A	2.130070779	2.131991183	2.122101923	2.150671829	A	A	A	A	2.175967932	2.177836561	2.17248151	2.177245427	A	A	A	A	0.8935	0.9999	1.0000	0.9996	0.8731	0.2941	1.0000	1.0000	1.0000
ACIN1	NM_014977	9.537799043	9.832257424	9.118365612	9.094019246	P	P	P	P	7.815825465	7.551638558	7.535633391	7.70035687	P	P	P	P	9.674586866	9.780419827	9.695642398	9.694464993	P	P	P	P	0.0350	0.0029	0.0016	0.1632	0.0764	0.3576	0.1159	1.0000	1.0000
ACLY	NM_001096	11.85707064	11.64405077	11.53343515	11.39721712	P	P	P	P	11.73759134	11.69230975	11.64907785	11.68506377	P	P	P	P	10.81120406	10.61987631	10.64573925	10.54520962	P	P	P	P	0.0288	0.0013	0.0001	0.9144	0.2972	0.3931	0.7340	0.6842	0.2369
ACMSD	NM_138326	2.883595352	2.889535058	2.895157671	2.869111851	A	A	A	A	2.537524341	2.542580442	2.529689283	2.572697979	A	A	A	A	2.982973007	2.979820558	2.973165297	2.955527433	A	A	A	A	0.9696	0.9999	0.9398	0.9996	0.8839	0.1783	1.0000	1.0000	1.0000
ACN9	NM_020186	4.754194823	4.02837476	3.822756482	3.797058075	P	P	P	P	4.261065314	4.201047623	4.081444161	4.122233661	P	P	P	P	7.057245147	7.164106203	6.963249383	6.86144338	P	P	P	P	0.0021	0.0002	0.0001	0.9996	0.5771	0.4445	1.0000	1.0000	0.5289
ACO1	NM_002197	7.896627045	7.993973932	7.803820473	7.662667136	P	P	P	P	9.565825834	9.726011162	9.756258106	9.836955796	P	P	P	P	9.944255444	10.07971451	10.03673625	10.07452807	P	P	P	P	0.8576	0.9220	0.2166	0.0785	0.0183	0.0016	0.2041	0.3690	0.1114
ACO2	NM_001098	8.762635533	8.822020582	9.117849195	9.128349735	P	P	P	P	10.01828819	10.04897138	9.874525068	9.973944327	P	P	P	P	9.278019509	9.35813581	9.226379088	9.018879105	P	P	P	P	0.9138	0.0162	0.0120	0.9996	0.2807	0.6347	0.9631	1.0000	0.0387
ACOT11	NM_015547	2.929719711	2.943772375	2.923750014	2.937158073	A	A	A	A	2.170242075	2.171087032	2.159937383	2.177989171	A	A	A	A	2.405013856	2.3982208	2.395006376	2.396740142	A	A	A	A	0.6348	0.9999	0.9183	0.9996	0.7752	0.5712	1.0000	1.0000	1.0000
ACOT12	NM_130767	2.470619057	2.47898796	2.478497601	2.45117593	A	A	A	A	2.736740456	2.760744174	2.735715612	2.836044641	P	A	A	A	2.491075128	2.497157588	2.505720763	2.488481857	A	A	A	A	0.9382	0.9999	0.7922	0.9167	0.9875	0.0152	1.0000	1.0000	1.0000
ACOT4	NM_152331	2.285436506	2.294980163	2.280508097	2.278645763	A	A	A	A	2.243986294	2.252314112	2.235593473	2.268988466	A	A	A	A	6.335318526	6.780264728	7.114757628	7.041746769	P	P	P	P	0.8998	0.9999	0.9807	0.9996	0.8677	0.2175	0.1458	0.0063	0.0076
ACOT6	NM_001037162	2.430474196	2.437369329	2.431753092	2.421211805	A	A	A	A	2.407938104	2.416941159	2.39489517	2.44160166	A	A	A	A	2.399359363	2.405421586	2.400327623	2.400226476	A	A	A	A	0.9255	0.9999	0.9325	0.9996	0.8524	0.2101	1.0000	1.0000	1.0000
ACOT7	NM_007274	8.387667101	8.117933184	8.031927325	7.803283499	P	P	P	P	9.340552642	9.245072558	9.256699582	9.275984499	P	P	P	P	10.17530501	10.28475405	10.2016149	9.957323892	P	P	P	P	0.0837	0.0163	0.0004	0.2947	0.2649	0.2754	0.8175	1.0000	0.1162
ACOT8	NM_005469	5.508778715	4.835418401	5.417697948	5.186010462	P	P	P	P	7.205740829	7.115433736	7.278827314	7.184578962	P	P	P	P	7.029360993	7.330892657	7.297250358	7.233372939	P	P	P	P	0.1480	0.9999	0.6170	0.9824	0.8551	0.8745	0.5198	0.4667	0.5966
ACOT9	NM_001033583	7.593854397	7.684531989	8.387935336	8.692927243	P	P	P	P	9.219715905	9.097293292	9.141221218	9.049883394	P	P	P	P	11.00461095	10.91447128	10.92438339	11.0592673	P	P	P	P	0.9100	0.0006	0.0000	0.6135	0.7690	0.1585	0.7523	0.6816	0.8644
ACOX1	NM_004035	7.458344265	7.053907229	7.299791257	7.42861241	P	P	P	P	4.854939971	4.797794916	4.791036913	4.757866226	P	P	P	P	4.611185904	4.670845364	4.567917245	4.531989737	P	P	P	P	0.0138	0.4135	1.0000	0.8137	0.5840	0.1873	0.9234	1.0000	0.4516
ACOX2	NM_003500	8.207194433	7.626191488	7.521060667	7.559687653	P	P	P	P	8.44909956	8.506118713	8.382174867	8.329489173	P	P	P	P	3.661265631	3.746291374	3.693048654	3.695146014	A	A	A	A	0.0008	0.0001	0.0002	0.9996	0.8475	0.3262	0.4607	1.0000	0.9306
ACOX3	NM_003501	4.589183978	4.596905411	4.578169256	4.574196807	P	P	P	P	5.814653232	5.743339263	5.812539331	5.777112982	P	P	P	P	3.782401287	3.78354951	3.846679767	3.827864015	P	P	P	P	0.9601	0.9999	0.9642	0.8005	0.9899	0.6298	1.0000	0.7175	0.8693
ACP1	NM_004300	10.9685988	10.67478148	10.63505967	10.94666437	P	P	P	P	10.45499278	10.34872406	10.37414473	10.47079932	P	P	P	P	9.925832155	9.852500182	9.802733143	9.867896601	P	P	P	P	0.0047	0.0012	1.0000	0.1496	0.2019	0.7315	0.8465	0.2728	0.7707
ACP2	NM_001610	6.388463576	6.155673849	5.757074213	5.818704409	P	P	P	P	8.305223427	8.367949541	8.154507047	8.045823969	P	P	P	P	8.876748142	8.735265344	8.587365041	8.56671001	P	P	P	P	0.6808	0.0413	0.0624	0.9668	0.2301	0.0242	0.3690	0.0165	0.0082
ACP5	NM_001611	2.325285816	2.345547073	2.323894062	2.324013336	A	A	A	A	4.781224315	4.925562338	5.033349894	4.851095548	P	P	P	P	2.159937593	2.166208874	2.158215686	2.16561994	A	A	A	A	0.9243	0.9999	1.0000	0.9030	0.3599	0.7034	1.0000	1.0000	1.0000
ACP6	NM_016361	7.3510399	4.970169833	7.108876863	7.937771978	P	P	P	P	6.084303424	6.140945207	6.108694917	6.017937059	P	P	P	P	9.101093624	9.024411846	8.743551231	8.672193354	P	P	P	P	0.0000	0.7335	0.0970	0.9996	0.9274	0.6334	1.0000	0.0707	0.0234
ACPL2	NM_152282	5.595815331	5.096139609	3.776557315	2.656072339	P	A	A	A	6.635666278	7.476096094	8.466856244	8.816959367	P	P	P	P	2.248242619	2.408957012	2.262727037	2.25144803	A	A	A	A	0.5445	0.0021	0.0000	0.0006	0.0000	0.0000	0.6523	1.0000	1.0000
ACPP	NM_001099	2.551467181	2.562033189	2.55259937	2.54648904	A	A	A	A	4.792175855	4.75290061	5.301953294	5.967304162	P	P	P	P	2.554048593	2.560569316	2.549791155	2.553316621	A	A	A	A	0.8965	0.9999	1.0000	0.9996	0.1772	0.0031	1.0000	1.0000	1.0000
ACPT	NM_033068	2.766080142	2.813718839	2.803928285	2.768582046	A	P	A	A	2.720273189	2.757503706	2.853881716	2.77028416	P	P	P	A	3.187642231	3.230512657	3.198674223	3.202729726	P	P	P	P	0.4723	0.6317	1.0000	0.9996	0.2786	0.5637	0.7833	1.0000	1.0000
ACRBP	NM_032489	2.222038507	2.229271255	2.224829434	2.2193602	A	A	A	A	2.037197299	2.039978777	2.031348138	2.055903791	A	A	A	A	1.91855617	1.921389754	1.916923604	1.918876725	A	A	A	A	0.9098	0.9999	1.0000	0.9996	0.8807	0.2867	1.0000	1.0000	1.0000
ACRC	NM_052957	2.374691605	2.381697918	2.373164943	2.365368638	A	A	A	A	2.411216058	2.402982002	2.475835085	2.606797271	A	A	P	A	2.353047208	2.334794262	2.339305122	2.341097792	A	A	A	A	0.9232	0.9999	0.9144	0.9996	0.8794	0.2925	1.0000	1.0000	1.0000
ACRV1	NM_001612	1.919813377	1.922266751	1.919779322	1.922389402	P	P	P	P	1.83986977	1.841330892	1.835410128	1.845464419	P	P	P	P	1.757273677	1.760372286	1.756643086	1.757363415	P	P	P	P	0.9588	0.9999	1.0000	0.9996	0.8855	0.6776	1.0000	1.0000	1.0000
ACSBG1	NM_015162	1.863305219	1.866068889	1.860723391	1.864809941	A	A	A	A	1.777033879	1.778280703	1.771521968	1.784562628	A	A	A	A	1.688560307	1.690722775	1.687785534	1.687819678	A	A	A	A	0.9542	0.9999	1.0000	0.9996	0.8779	0.5904	1.0000	1.0000	1.0000
ACSBG2	NM_030924	2.05860368	2.066847073	2.059257415	2.061896248	A	A	A	A	2.020402267	2.023269421	2.015774802	2.029188072	A	A	A	A	1.966663893	1.968306563	1.963005915	1.963349589	A	A	A	A	0.8926	0.9999	1.0000	0.9996	0.8879	0.5588	1.0000	1.0000	1.0000
ACSF2	NM_025149	6.892527245	7.042593688	6.602865452	6.864133495	P	P	A	A	5.813225868	5.82884808	5.861129694	6.09605816	P	P	P	P	6.064607909	6.259509414	6.144427007	6.087483907	P	P	P	P	0.5689	0.0984	1.0000	0.9996	0.9225	0.3153	0.7510	1.0000	1.0000
ACSF3	NM_174917	2.688642711	2.680466139	2.672435693	2.679121344	A	A	A	A	2.374085825	2.372466412	2.359616469	2.377008286	A	A	A	A	2.589598621	2.559974322	2.54043793	2.551414631	A	A	A	A	0.8886	0.4487	0.7871	0.9996	0.5079	0.8229	1.0000	0.6894	0.7815
ACSL1	NM_001995	7.720552469	7.285236755	6.507780977	5.938148395	P	P	P	P	9.31901152	9.183612942	9.008371733	8.764747352	P	P	P	P	7.960528456	7.825893552	7.662666656	7.419397908	P	P	P	P	0.0161	0.0000	0.0000	0.2594	0.0045	0.0001	0.7282	0.0660	0.0025
ACSL3	NM_004457	10.31363576	10.70434228	11.51192128	11.76721858	P	P	P	P	9.551143134	9.476982464	9.521955756	9.50099303	P	P	P	P	8.240506846	8.456590929	8.381948123	8.166393241	P	P	P	P	0.0006	0.0000	0.0000	0.5074	0.8561	0.3770	0.2445	0.4526	0.8553
ACSL4	NM_004458	8.112338128	8.173807314	8.511482928	8.581686578	P	P	P	P	7.053767887	6.977883311	6.749906591	6.243067337	P	P	P	P	7.73984365	7.65889678	7.578489897	7.501937498	P	P	P	P	0.9620	0.3211	0.1983	0.9996	0.4728	0.0165	1.0000	0.7306	0.3393
ACSL5	NM_016234	7.035776815	7.87569289	9.380195654	9.861524235	P	P	P	P	2.621766944	2.611290533	2.606200853	2.641949521	A	A	A	A	10.08169939	10.03591439	10.23721748	10.17779112	P	P	P	P	0.0000	0.0000	0.0000	0.9996	0.8010	0.3791	1.0000	0.2710	0.5611
ACSL6	NM_015256	3.167833206	3.03221488	3.030479395	2.990386203	P	A	A	A	2.545863542	2.553468789	2.53510731	2.614085119	A	P	A	P	2.552374631	2.559016357	2.548042159	2.616716782	A	P	A	A	0.3506	0.3110	0.1384	0.9996	0.8916	0.1319	1.0000	1.0000	0.8228
ACSM1	NM_052956	2.709629564	2.721200747	2.692632225	2.6878353	A	A	A	A	2.724846984	2.733492356	2.696114732	2.756673618	A	A	A	A	2.751562147	2.748762878	2.740749088	2.749655689	A	A	A	A	0.9208	0.9299	0.7085	0.9996	0.3154	0.1656	1.0000	1.0000	1.0000
ACSM2A	NM_001010845	3.488270014	4.047257568	3.515419257	3.415398107	A	A	A	A	2.376509598	2.413380592	2.576000489	2.745198707	A	A	A	A	2.840191554	2.6460021	2.640934958	2.736478579	A	A	A	A	0.3290	0.9999	1.0000	0.9996	0.7915	0.2353	1.0000	0.9810	1.0000
ACSM3	NM_005622	2.574736028	2.571547721	2.565295776	2.567664594	A	A	A	A	2.085430358	2.088088206	2.077406567	2.105830548	A	A	A	A	1.998362252	2.002079972	1.994530923	1.999064138	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8674	0.2772	1.0000	1.0000	1.0000
ACSM5	NM_017888	3.135265262	3.123694993	3.091251577	3.058927194	A	P	A	A	2.119238174	2.131688821	2.123600611	2.171429579	A	P	A	A	2.083394917	2.0847117	2.082450679	2.091110696	A	A	A	A	0.9943	0.9999	0.8153	0.9996	0.9433	0.1688	1.0000	1.0000	1.0000
ACSS1	NM_032501	6.555606218	6.622114491	6.129070578	6.078929238	P	P	P	P	2.259445891	2.266368768	2.255739659	2.284728599	A	A	A	A	3.719377932	3.86468589	3.906680418	3.913346439	A	A	P	A	0.9496	0.2204	0.1457	0.9996	0.9133	0.2138	0.8072	0.4399	0.3378
ACSS2	NM_018677	9.771500335	9.403906573	8.933943139	8.855517467	P	P	P	P	9.027695947	8.911164772	8.736791221	8.770992445	P	P	P	P	7.889614262	7.797552696	7.687790206	7.568582783	P	P	P	P	0.0053	0.0000	0.0000	0.7877	0.0833	0.0891	1.0000	0.7735	0.3210
ACSS3	NM_024560	8.708964048	8.751249744	8.623354178	8.67820633	P	P	P	P	2.335908845	2.253094278	2.242089776	2.319840149	A	A	A	A	2.246336274	2.24725765	2.240824477	2.273075758	A	A	A	A	0.9142	0.6157	1.0000	0.9053	0.6760	0.8794	1.0000	1.0000	0.5524
ACTA1	NM_001100	5.270744923	9.414123089	9.631210677	9.63534598	A	P	P	P	2.434195585	2.433009427	2.425043291	2.459650531	A	A	A	A	2.428712518	2.42464695	2.421043649	2.426133771	A	A	A	A	0.0000	0.0000	0.0000	0.9996	0.8671	0.2389	1.0000	1.0000	1.0000
ACTA2	NM_001613	8.199881973	8.285057509	8.095783228	7.982019128	P	P	P	P	8.823893721	8.732552183	8.748960484	8.872037613	P	P	P	P	6.734848705	6.563658623	6.508519719	6.61662072	P	P	P	P	0.5739	0.3876	0.0245	0.5856	0.5812	0.5191	0.9376	0.5623	0.9430
ACTB	NM_001101	15.35314174	15.44292027	15.42002011	15.35348765	P	P	P	P	15.39919666	15.4282121	15.3724288	15.40297087	P	P	P	P	16.1787515	16.15228572	16.17466168	16.14023493	P	P	P	P	0.3287	0.5315	1.0000	0.9996	0.8523	0.9365	1.0000	1.0000	0.7255
ACTC1	NM_005159	3.284530543	3.317031747	3.300613775	3.275215198	A	A	A	A	3.395885401	3.423568951	3.36629287	3.430495214	P	A	A	P	2.678611038	2.668314434	2.660792548	2.722433348	P	A	P	A	0.7609	0.9999	1.0000	0.9430	0.7534	0.3832	1.0000	1.0000	0.9793
